Produced from MIDL 1D BATSRUS MHD at x=32.00 Re (nT, km/s, cm^-3, K)

#COORDINATES
GSM

year  mo  dy  hr  mn  sc msc Bx By Bz Ux Uy Uz rho T
#START
2024  5  9  2  1  0   0     -0.79      2.14      0.26   -463.82      0.07    -17.27    2.5673   199537.7
2024  5  9  2  2  0   0     -0.94      2.14      0.51   -462.21      2.55    -10.37    2.4498   193144.8
2024  5  9  2  3  0   0     -0.98      2.15      0.55   -461.68      3.66     -6.75    2.4303   193371.9
2024  5  9  2  4  0   0     -0.85      2.18      0.41   -461.77      4.62     -5.83    2.4979   197802.5
2024  5  9  2  5  0   0     -0.77      1.95      0.07   -459.61      7.65     -3.25    2.5403   200297.6
2024  5  9  2  6  0   0     -0.96      1.63     -0.44   -457.19     10.68      0.43    2.4977   196804.9
2024  5  9  2  7  0   0     -1.25      1.45     -0.64   -457.12     10.37      2.17    2.4700   187525.5
2024  5  9  2  8  0   0     -1.71      1.42     -0.69   -458.19      8.28      2.27    2.5618   183231.4
2024  5  9  2  9  0   0     -1.72      1.28     -0.67   -458.06      8.87      0.21    2.7546   188014.8
2024  5  9  2 10  0   0     -1.64      1.07     -0.65   -460.75     10.60     -3.42    3.0410   202171.1
2024  5  9  2 11  0   0     -1.73      1.28     -0.63   -464.16      9.38     -5.84    3.4650   199960.8
2024  5  9  2 12  0   0     -1.71      1.77     -0.44   -462.64      7.42     -7.80    3.5364   187426.9
2024  5  9  2 13  0   0     -1.66      1.82     -0.12   -461.88      4.14    -11.97    3.5212   186812.3
2024  5  9  2 14  0   0     -1.60      1.65      0.16   -460.81      2.44    -17.53    3.5661   183579.6
2024  5  9  2 15  0   0     -1.26      1.79      0.35   -458.54      5.58    -17.80    3.1829   183216.2
2024  5  9  2 16  0   0     -0.86      2.18      0.88   -459.79      8.75     -9.21    2.8800   196995.6
2024  5  9  2 17  0   0     -0.85      2.35      1.01   -462.86      8.60     -3.98    2.8736   195314.9
2024  5  9  2 18  0   0     -0.85      2.20      0.92   -467.63      7.55     -4.69    2.6370   181538.3
2024  5  9  2 19  0   0     -0.85      2.08      0.66   -467.64      9.50     -2.18    2.7431   182247.0
2024  5  9  2 20  0   0     -0.88      1.54     -0.05   -468.45     16.46      9.08    3.0217   192776.4
2024  5  9  2 21  0   0     -0.93      1.52     -0.16   -468.53     14.44      9.41    3.0656   198646.3
2024  5  9  2 22  0   0     -0.76      1.52     -0.76   -466.51      5.94     -0.96    3.0283   209814.9
2024  5  9  2 23  0   0     -0.43      1.85     -1.15   -465.65      1.20     -2.77    3.1427   215529.1
2024  5  9  2 24  0   0     -0.28      2.23     -1.32   -464.27      0.91      1.39    3.2615   208532.9
2024  5  9  2 25  0   0     -0.19      2.05     -1.53   -464.06      1.23     -0.14    3.2719   208950.8
2024  5  9  2 26  0   0     -0.18      1.99     -1.64   -463.91      2.44     -1.81    3.2391   211781.9
2024  5  9  2 27  0   0     -0.12      1.99     -1.53   -464.89      1.53     -1.41    3.1693   212763.4
2024  5  9  2 28  0   0     -0.03      1.83     -1.39   -466.68     -0.87     -0.55    3.0559   210333.8
2024  5  9  2 29  0   0      0.17      1.66     -1.48   -466.30     -2.60     -1.25    3.0659   210287.2
